alignment_id,candidate_id,ku_id,external_source,external_id,method,decision,evidence_ref,accessed_date
aln-154,persons/marchese-giustiniani-ch1,units/persons/marchese-giustiniani-ch1,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-155,persons/marchese-pallavicini-piola,units/persons/marchese-pallavicini-piola,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-156,persons/marchese-san-tommaso-negri,units/persons/marchese-san-tommaso-negri,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-157,persons/mario-de-fiori,units/persons/mario-de-fiori,Wikidata,Q1227379,wikimedia,same,REV-034,2026-09-10
aln-158,persons/mario-minnitti,units/persons/mario-minnitti,Wikidata,Q153619,wikimedia,same,REV-034,2026-09-10
aln-159,persons/mattia-preti,units/persons/mattia-preti,Wikidata,Q468632,wikimedia,same,REV-034,2026-09-10
aln-160,persons/maurizio-di-savoia,units/persons/maurizio-di-savoia,Wikidata,Q610738,wikimedia,same,REV-034,2026-09-10
aln-161,persons/michelangelo-cerquozzi,units/persons/michelangelo-cerquozzi,Wikidata,Q979862,wikimedia,same,REV-034,2026-09-10
aln-162,persons/michelangelo,units/persons/michelangelo,Wikidata,Q5592,wikimedia,same,REV-034,2026-09-10
aln-163,persons/mr-coke-rome-correspondent,units/persons/mr-coke-rome-correspondent,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-164,persons/nicolas-poussin,units/persons/nicolas-poussin,Wikidata,Q41554,wikimedia,same,REV-034,2026-09-10
aln-165,persons/onorato-gini,units/persons/onorato-gini,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-166,persons/paolo-girolamo-piola,units/persons/paolo-girolamo-piola,Wikidata,Q3894101,wikimedia,same,REV-034,2026-09-10
aln-167,persons/paolo-guidotti,units/persons/paolo-guidotti,Wikidata,Q3894144,wikimedia,same,REV-034,2026-09-10
aln-168,persons/paolo-negri,units/persons/paolo-negri,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-169,persons/pascoli,units/persons/pascoli,Wikidata,Q1101774,wikimedia,same,REV-034,2026-09-10
aln-170,persons/paul-v,units/persons/paul-v,Wikidata,Q132711,wikimedia,same,REV-034,2026-09-10
aln-171,persons/peter-paul-rubens,units/persons/peter-paul-rubens,Wikidata,Q5599,wikimedia,same,REV-034,2026-09-10
aln-172,persons/pier-francesco-mola,units/persons/pier-francesco-mola,Wikidata,Q1192715,wikimedia,same,REV-034,2026-09-10
aln-173,persons/pieter-van-laer,units/persons/pieter-van-laer,Wikidata,Q576907,wikimedia,same,REV-034,2026-09-10
aln-174,persons/pietro-da-cortona,units/persons/pietro-da-cortona,Wikidata,Q333323,wikimedia,same,REV-034,2026-09-10
aln-175,persons/pietro-mulier,units/persons/pietro-mulier,Wikidata,Q666337,wikimedia,same,REV-034,2026-09-10
aln-176,persons/pietro-ottoboni,units/persons/pietro-ottoboni,Wikidata,Q725737,wikimedia,same,REV-034,2026-09-10
aln-177,persons/raphael,units/persons/raphael,Wikidata,Q5597,wikimedia,same,REV-034,2026-09-10
aln-178,persons/rembrandt,units/persons/rembrandt,Wikidata,Q5598,wikimedia,same,REV-034,2026-09-10
aln-179,persons/salvator-rosa,units/persons/salvator-rosa,Wikidata,Q359421,wikimedia,same,REV-034,2026-09-10
aln-180,persons/saverio-savini,units/persons/saverio-savini,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-181,persons/sebastiano-ricci,units/persons/sebastiano-ricci,Wikidata,Q506483,wikimedia,same,REV-034,2026-09-10
aln-182,persons/sixtus-v,units/persons/sixtus-v,Wikidata,Q133350,wikimedia,same,REV-034,2026-09-10
aln-183,persons/thomas-baker,units/persons/thomas-baker,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-184,persons/titian,units/persons/titian,Wikidata,Q47551,wikimedia,same,REV-034,2026-09-10
aln-185,persons/urbano-viii,units/persons/urbano-viii,Wikidata,Q131579,wikimedia,same,REV-034,2026-09-10
aln-186,persons/valentin,units/persons/valentin,Wikidata,Q1337275,wikimedia,same,REV-034,2026-09-10
aln-187,persons/ventura-carrara,units/persons/ventura-carrara,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-188,persons/vincenzo-armanni-ch1,units/persons/vincenzo-armanni-ch1,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-189,persons/virgil,units/persons/virgil,Wikidata,Q1398,wikimedia,same,REV-034,2026-09-10
aln-190,places/augusta-sicily,units/places/augusta-sicily,Wikidata,Q194005,wikimedia,same,REV-034,2026-09-10
aln-191,places/bologna,units/places/bologna,Wikidata,Q1891,wikimedia,same,REV-034,2026-09-10
aln-192,places/capuchin-church-rome,units/places/capuchin-church-rome,Wikidata,Q546141,wikimedia,same,REV-034,2026-09-10
aln-193,places/chiesa-de-servi-bologna,units/places/chiesa-de-servi-bologna,Wikidata,Q1021897,wikimedia,same,REV-034,2026-09-10
aln-194,places/chiesa-nuova,units/places/chiesa-nuova,Wikidata,Q2031901,wikimedia,same,REV-034,2026-09-10
aln-195,places/cortona,units/places/cortona,Wikidata,Q52080,wikimedia,same,REV-034,2026-09-10
aln-196,places/florence,units/places/florence,Wikidata,Q2044,wikimedia,same,REV-034,2026-09-10
aln-197,places/genoa,units/places/genoa,Wikidata,Q1449,wikimedia,same,REV-034,2026-09-10
aln-198,places/gesu-rome,units/places/gesu-rome,Wikidata,Q719794,wikimedia,same,REV-034,2026-09-10
aln-199,places/gubbio,units/places/gubbio,Wikidata,Q20458,wikimedia,same,REV-034,2026-09-10
aln-200,places/italy,units/places/italy,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-201,places/london,units/places/london,Wikidata,Q84,wikimedia,same,REV-034,2026-09-10
aln-202,places/milan,units/places/milan,Wikidata,Q490,wikimedia,same,REV-034,2026-09-10
aln-203,places/modena,units/places/modena,Wikidata,Q279,wikimedia,same,REV-034,2026-09-10
aln-204,places/naples-cathedral,units/places/naples-cathedral,Wikidata,Q256486,wikimedia,same,REV-034,2026-09-10
aln-205,places/naples,units/places/naples,Wikidata,Q2634,wikimedia,same,REV-034,2026-09-10
