reference_id,enrichment_id,ku_id,content_field,cell_index,link_index,link_label,target_type,target_id,resolution_status
ref-8b2d143e7d494cb0,enr-08882,units/archives/pastor-popes-english-vol33,cells,1,0,"Kegan Paul, Trench, Trubner & Co., Ltd.",entity,units/institutions/kegan-paul-trench-trubner,resolved_entity
ref-20822ed661c07e1c,enr-08883,units/archives/pastor-popes-english-vol33,value,,0,克勉十一世,entity,units/persons/clement-xi,resolved_entity
ref-4c36652c6deaea0c,enr-08883,units/archives/pastor-popes-english-vol33,cells,1,0,克勉十一世,entity,units/persons/clement-xi,resolved_entity
ref-aa58b845949a5e32,enr-00300,units/archives/patrons-and-painters,value,,0,弗朗西斯·哈斯克尔,entity,units/persons/francis-haskell,resolved_entity
ref-9a1078254448e008,enr-00300,units/archives/patrons-and-painters,cells,1,0,弗朗西斯·哈斯克尔,entity,units/persons/francis-haskell,resolved_entity
ref-cd8eec4683cee8ff,enr-00306,units/archives/patrons-and-painters,value,,0,耶鲁大学出版社,entity,units/institutions/yale-university-press,resolved_entity
ref-9bb901a2f65d73f6,enr-00306,units/archives/patrons-and-painters,cells,1,0,耶鲁大学出版社,entity,units/institutions/yale-university-press,resolved_entity
ref-28b0f7b4063d1654,enr-00314,units/archives/patrons-and-painters,value,,0,耶鲁大学,entity,units/institutions/yale-university,resolved_entity
ref-83559564cdd3153b,enr-00314,units/archives/patrons-and-painters,cells,1,0,耶鲁大学,entity,units/institutions/yale-university,resolved_entity
ref-741fbf7384b8f30e,enr-00315,units/archives/patrons-and-painters,value,,0,中国,entity,units/places/china,resolved_entity
ref-5e913c21f20c6b8b,enr-00315,units/archives/patrons-and-painters,cells,1,0,中国,entity,units/places/china,resolved_entity
ref-0677f6d09a6db3f3,enr-00326,units/archives/patrons-and-painters,value,,0,拉里萨,entity,units/persons/larissa-dedicatee,resolved_entity
ref-589f7530d21d1536,enr-00326,units/archives/patrons-and-painters,cells,1,0,拉里萨,entity,units/persons/larissa-dedicatee,resolved_entity
ref-8175adb6bdd134d6,enr-00328,units/archives/patrons-and-painters,value,,0,T. 与 A. 康斯特布尔公司,entity,units/institutions/t-and-a-constable,resolved_entity
ref-d588c88cc5d0f5f6,enr-00328,units/archives/patrons-and-painters,cells,1,0,T. 与 A. 康斯特布尔公司,entity,units/institutions/t-and-a-constable,resolved_entity
ref-dadd0421e6beb665,enr-00330,units/archives/patrons-and-painters,value,,0,查托与温达斯公司,entity,units/institutions/chatto-and-windus,resolved_entity
ref-03652adbe52a9195,enr-00330,units/archives/patrons-and-painters,cells,1,0,查托与温达斯公司,entity,units/institutions/chatto-and-windus,resolved_entity
ref-1b05db7376b9b5df,enr-00331,units/archives/patrons-and-painters,value,,0,诺拉·斯莫尔伍德,entity,units/persons/norah-smallwood,resolved_entity
ref-0b0bcb1bebc2f360,enr-00331,units/archives/patrons-and-painters,cells,1,0,诺拉·斯莫尔伍德,entity,units/persons/norah-smallwood,resolved_entity
ref-2b35a520defc965e,enr-00332,units/archives/patrons-and-painters,value,,0,约翰·尼科尔,entity,units/persons/john-nicoll,resolved_entity
ref-6cacaae5ea59b158,enr-00332,units/archives/patrons-and-painters,cells,1,0,约翰·尼科尔,entity,units/persons/john-nicoll,resolved_entity
ref-f20e386d55768697,enr-00333,units/archives/patrons-and-painters,value,,0,美国国会图书馆,entity,units/institutions/library-of-congress,resolved_entity
ref-a54cc3e8a2ce3ebe,enr-00333,units/archives/patrons-and-painters,cells,1,0,美国国会图书馆,entity,units/institutions/library-of-congress,resolved_entity
ref-c1cc320ac31a7c2c,enr-00337,units/archives/poerson-letter-1708,value,,0,夏尔-弗朗索瓦·普瓦松,entity,units/persons/charles-francois-poerson,resolved_entity
ref-38f51c3553eceaa8,enr-00337,units/archives/poerson-letter-1708,cells,1,0,夏尔-弗朗索瓦·普瓦松,entity,units/persons/charles-francois-poerson,resolved_entity
ref-1218d22da04af709,enr-08885,units/archives/poerson-letter-1708,value,,0,路易-安托万·德·帕尔达扬·德·贡德兰,entity,units/persons/louis-antoine-de-pardaillan-de-gondrin,resolved_entity
ref-fcb1b517b967c630,enr-08885,units/archives/poerson-letter-1708,cells,1,0,路易-安托万·德·帕尔达扬·德·贡德兰,entity,units/persons/louis-antoine-de-pardaillan-de-gondrin,resolved_entity
ref-178e0932b4c01c73,enr-00343,units/archives/poerson-letter-1708,value,,0,罗马法国学院主管与王室建筑总监通信集,entity,units/archives/montaiglon-academy-correspondence,resolved_entity
ref-df2507d73e5bdbd0,enr-00343,units/archives/poerson-letter-1708,cells,1,0,罗马法国学院主管与王室建筑总监通信集,entity,units/archives/montaiglon-academy-correspondence,resolved_entity
ref-bcefea3e3bb06109,enr-08908,units/archives/roland-michel-chardin-1994,value,,0,玛丽安娜·罗兰-米歇尔,entity,units/persons/marianne-roland-michel,resolved_entity
